Comparison (group1/group2),PTM.ModificationTitle,rows_total,rows_candidate,candidate_frac,median_abs_log2,median_p,median_ratios
P3C4 / P3C4+Nigericin,Carbamidomethyl (C),14170,4980,0.3514467184191955,0.923293683262066,0.08638314727179805,6.0
Unstim / P3C4+Nigericin,Carbamidomethyl (C),15600,3616,0.2317948717948718,1.0187360814088406,0.13131477049262505,6.0
P3C4+Nigericin / LPS,Carbamidomethyl (C),13279,3408,0.2566458317644401,0.799018064717685,0.1308171693707792,6.0
P3C4 / Nigericin,Carbamidomethyl (C),12858,3353,0.26077150412194744,0.7236652621081479,0.14266314488127466,6.0
LPS / Nigericin,Carbamidomethyl (C),12625,2756,0.2182970297029703,0.7060861897961027,0.1649464343074342,6.0
Unstim / Nigericin,Carbamidomethyl (C),12743,2228,0.1748410892254571,0.8026863969512086,0.1871193406518697,6.0
Unstim / LPS+Nigericin,Carbamidomethyl (C),13028,1196,0.09180227202947498,0.7397142396749854,0.22804982385012956,6.0
P3C4+Nigericin / Nigericin,Carbamidomethyl (C),12827,1109,0.08645825212442504,0.6101141657261048,0.214946633198209,6.0
P3C4 / LPS+Nigericin,Carbamidomethyl (C),12002,1090,0.09081819696717214,0.6618073591549303,0.204644546784412,6.0
Unstim / P3C4,Carbamidomethyl (C),9883,805,0.08145300010118385,0.5609871807783906,0.26861778211138,6.0
Unstim / LPS,Carbamidomethyl (C),11429,795,0.06955989150406859,0.6045464666061214,0.2436151125653493,6.0
LPS / LPS+Nigericin,Carbamidomethyl (C),11376,781,0.06865330520393811,0.6146717249049616,0.25217918051860166,6.0
P3C4 / Nigericin,Oxidation (M),4098,732,0.17862371888726208,0.8057359081522999,0.1788600162788374,6.0
P3C4 / P3C4+Nigericin,Didehydro,3173,724,0.22817522849038765,1.0859207286213444,0.1959794627487777,6.0
P3C4 / LPS,Carbamidomethyl (C),7929,627,0.07907680665909951,0.4852915766238278,0.2622768817297309,6.0
P3C4 / Nigericin,Didehydro,3162,617,0.19512966476913346,0.9422861728453817,0.221544169821394,6.0
LPS / Nigericin,Didehydro,3196,507,0.1586357947434293,0.8931378943135808,0.246981053355667,6.0
LPS / Nigericin,Oxidation (M),4035,490,0.12143742255266418,0.7987614944969041,0.2177421314087318,6.0
Unstim / P3C4+Nigericin,Didehydro,3341,482,0.144268183178689,1.0726226650858697,0.2397499643854758,6.0
P3C4 / P3C4+Nigericin,Oxidation (P),2181,468,0.21458046767537828,0.9444096055898492,0.1888006514302231,6.0
P3C4+Nigericin / LPS+Nigericin,Carbamidomethyl (C),12221,462,0.037803780378037805,0.5614209073911028,0.3110336502404734,6.0
P3C4 / P3C4+Nigericin,Methyl (E),2011,455,0.2262555942317255,1.0296883180759615,0.1862284757293433,6.0
P3C4+Nigericin / LPS,Didehydro,3117,449,0.14404876483798523,0.9544038584144864,0.2565441741016262,6.0
Unstim / Nigericin,Oxidation (M),4123,441,0.10696095076400679,0.804648457170599,0.2319237482306885,6.0
P3C4 / P3C4+Nigericin,Oxidation (M),3928,432,0.109979633401222,0.7370040270523461,0.2620275125368325,6.0
Unstim / Nigericin,Didehydro,3128,409,0.1307544757033248,0.9903157732752456,0.259399477369707,6.0
P3C4 / Nigericin,Oxidation (P),2049,404,0.19716935090287946,0.8612199836153552,0.2196256270078501,6.0
LPS / Nigericin,Oxidation (P),2050,363,0.1770731707317073,0.828768146392524,0.235335274936021,6.0
P3C4 / Nigericin,Methyl (E),1975,356,0.18025316455696203,0.9149397841181,0.2149541307067936,6.0
Unstim / P3C4+Nigericin,Oxidation (P),2228,348,0.1561938958707361,0.9290921123339846,0.23824498828230173,6.0
Unstim / P3C4+Nigericin,Oxidation (M),3908,335,0.08572159672466735,0.7625998588119258,0.287366134651563,6.0
Unstim / P3C4+Nigericin,Methyl (E),2082,314,0.15081652257444764,1.0525355634898577,0.21862366285426424,6.0
P3C4+Nigericin / LPS,Methyl (E),1957,285,0.14563106796116504,0.931216373757874,0.2404193425899516,6.0
LPS / Nigericin,Methyl (E),1967,284,0.1443823080833757,0.8995573398537955,0.2370472758577281,6.0
P3C4+Nigericin / LPS,Oxidation (P),2041,281,0.13767760901518863,0.8305035518799184,0.2306224185375907,6.0
Unstim / Nigericin,Oxidation (P),2045,276,0.1349633251833741,0.8671450255103388,0.2758030878926508,6.0
P3C4 / P3C4+Nigericin,Cation:Na (DE),1481,268,0.18095881161377447,1.067561505288794,0.2417996543731983,6.0
P3C4 / Nigericin,Cation:Na (DE),1480,257,0.17364864864864865,0.9592198537686452,0.2714653093775767,6.0
P3C4+Nigericin / LPS,Oxidation (M),3687,252,0.06834825061025224,0.6682032142024759,0.3303414415713918,6.0
Unstim / Nigericin,Methyl (E),1942,250,0.12873326467559218,0.965323826779139,0.25874654027041044,6.0
P3C4 / P3C4+Nigericin,Dimethyl (KR),1130,229,0.20265486725663717,1.1440814484262665,0.23208838692677553,6.0
P3C4 / Nigericin,Dimethyl (KR),1123,226,0.201246660730187,1.0437923728335408,0.2528415848476235,6.0
P3C4 / P3C4+Nigericin,Cation:Mg[II],1258,226,0.17965023847376788,1.0762476077275585,0.2383815641927325,6.0
LPS / Nigericin,Cation:Na (DE),1423,216,0.151791988756149,0.9168046020741484,0.2624009036077726,6.0
P3C4 / Nigericin,Cation:Mg[II],1212,208,0.1716171617161716,0.9740017655716489,0.25079536466603525,6.0
P3C4 / P3C4+Nigericin,Sulfo (STY),1141,205,0.1796669588080631,1.0955151807980017,0.2521590586994847,6.0
P3C4 / P3C4+Nigericin,Methyl (KR),852,200,0.2347417840375587,1.0753675086403263,0.2233191333822544,6.0
P3C4 / P3C4+Nigericin,Carbamylation (KR),1152,197,0.17100694444444445,1.138839074266762,0.26137107533142023,6.0
LPS+Nigericin / Nigericin,Carbamidomethyl (C),7825,196,0.025047923322683706,0.5063800861225266,0.4015071324536104,6.0
LPS / Nigericin,Dimethyl (KR),1186,195,0.16441821247892074,0.9699480728646008,0.2709092344166041,6.0
Unstim / P3C4+Nigericin,Cation:Na (DE),1509,188,0.12458581842279655,1.1058318294432408,0.2720977347695893,6.0
Unstim / P3C4,Oxidation (M),2936,188,0.06403269754768393,0.5797571822359604,0.34082390327085466,6.0
