"PTM.ModificationTitle","Count","Unique_Proteins","Unique_Sites"
"Carbamidomethyl (C)",271944,5707,18171
"Oxidation (M)",82155,2443,5726
"Didehydro",60884,1804,5548
"Oxidation (P)",41808,1477,3258
"Methyl (E)",38626,1511,3095
"Cation:Na (DE)",28044,1099,2576
"Cation:Mg[II]",23901,1000,2211
"Dimethyl (KR)",21890,952,1848
"Sulfo (STY)",21567,905,2050
"Carbamylation (KR)",21547,862,1856
"Formyl",17654,934,2022
"Dioxidation (MW)",16911,646,1214
"Methyl (KR)",16182,785,1387
"Hydroxymethyl",15284,690,1142
"Nitrosyl",14529,713,1043
"Trimethyl (K)",13734,559,1039
"Propionamide",12744,670,1175
"Carboxy",11951,666,1405
"Carboxymethyl",10834,584,997
"Phospho (STY)",9666,505,837
"Trioxidation (C)",9343,456,658
"Crotonyl",9293,458,769
"GlyGly (K)",8819,426,689
"HexNAc (ST)",8166,397,658
"Myristoyl",8023,407,638
"Oxidation (W)",7121,350,483
"Acetyl (K)",6787,352,551
"Hex (K)",6532,332,548
"Biotin",6029,308,488
"Phosphoadenosine",3533,230,351
"Cysteinyl",2504,144,192
