"Genes","PTM.ModificationTitle","Comparison (group1/group2)","N_sites","Mean_corr","Mean_abs_corr","N_robust_sites","Min_p"
"HSP90AA1","Nitrosyl","P3C4+Nigericin / Unstim",4,-3.14619490904364,3.14619490904364,1,1.29498350166413e-07
"HSP90AA1","Nitrosyl","LPS+Nigericin / Unstim",4,-1.88819024318095,1.99869918078263,1,0.000862671258039447
"HSPA8","Sulfo (STY)","P3C4 / Unstim",6,1.68080748077581,1.72749839285917,1,0.0365899239185675
"IL1B","Nitrosyl","P3C4+Nigericin / P3C4",1,-1.61152682906823,1.61152682906823,1,0.0232009050484593
"IL1B","Nitrosyl","P3C4+Nigericin / Unstim",1,-1.32291438650316,1.32291438650316,1,0.00461276267762551
"PYCARD","Trimethyl (K)","LPS / Unstim",1,1.2468333779523,1.2468333779523,1,0.0297239814345099
"HSP90AA1","GlyGly (K)","P3C4+Nigericin / P3C4",5,-0.455233310747431,1.13956846801436,1,0.0321400247802575
"HSP90AA1","Phospho (STY)","LPS+Nigericin / LPS",1,-1.03182214666545,1.03182214666545,1,0.00153418529062676
"IL1B","Sulfo (STY)","P3C4 / Unstim",5,0.331106637783278,0.706742713778142,1,0.0243497997089414
"HSP90AA1","GlyGly (K)","LPS+Nigericin / LPS",5,-0.0827706802605653,0.366140322214866,1,0.00153418699425125
"HSP90AB1","Phospho (STY)","P3C4+Nigericin / P3C4",1,11.7292911687332,11.7292911687332,0,0.21711240965487
"HSP90AB1","Phospho (STY)","LPS+Nigericin / Unstim",1,11.6405414942775,11.6405414942775,0,0.187538474842371
"HSP90AB1","Phospho (STY)","P3C4+Nigericin / Unstim",1,11.4380105973513,11.4380105973513,0,0.21715882690989
"HSP90AB1","Phospho (STY)","LPS / Unstim",1,11.0458294245226,11.0458294245226,0,0.422643703679898
"HSP90AB1","Hex (K)","P3C4 / Unstim",1,-9.94257660115814,9.94257660115814,0,0.422601884875067
"HSP90AB1","Hex (K)","LPS / Unstim",1,-9.82752060260826,9.82752060260826,0,0.422561603810367
"HSP90AB1","Hex (K)","P3C4+Nigericin / P3C4",1,9.39353896071759,9.39353896071759,0,0.42199410175108
"HSP90AB1","Hex (K)","LPS+Nigericin / Unstim",1,-8.88071501011176,8.88071501011176,0,0.422730434626695
"IL1B","Acetyl (K)","LPS+Nigericin / LPS",1,-8.67245158057822,8.67245158057822,0,0.185819479408612
"HSP90AA1","Hex (K)","LPS+Nigericin / Unstim",2,-0.882196060613797,8.20299858347629,0,0.395639340804237
"HSP90AB1","Myristoyl","P3C4+Nigericin / P3C4",1,7.04402245049174,7.04402245049174,0,0.423856597673442
"HSP90AB1","Myristoyl","P3C4+Nigericin / Unstim",1,6.79865854644184,6.79865854644184,0,0.425173029732893
"PYCARD","Trimethyl (K)","P3C4+Nigericin / P3C4",1,-6.77922270736706,6.77922270736706,0,0.19828050795482
"IL1B","Acetyl (K)","LPS+Nigericin / Unstim",1,-6.60705321602939,6.60705321602939,0,0.420570934922326
"HSPA8","Acetyl (K)","P3C4+Nigericin / P3C4",2,1.52664767406736,6.32414370430118,0,0.292162104831782
"PYCARD","Trimethyl (K)","P3C4+Nigericin / Unstim",1,-6.07875040902226,6.07875040902226,0,0.18703581665213
"HSP90AA1","Hex (K)","LPS / Unstim",3,-0.990068465608029,5.96943547389332,0,0.422697988049939
"HSPA8","Crotonyl","P3C4 / Unstim",3,5.76126948865875,5.76126948865875,0,0.422202311096528
