Genes,PTM.ModificationTitle,Comparison (group1/group2),N_sites,PTM_log2FC,Protein_log2FC,Corrected_log2FC,Abs_corrected_log2FC,Pvalue,Correction_class
HSP90AA1,Nitrosyl,P3C4+Nigericin / Unstim,4,-4.127,-0.981,-3.146,3.146,0,Robust after correction
HSP90AA1,Phospho (STY),LPS+Nigericin / LPS,1,-1.387,-0.355,-1.032,1.032,0.0015,Robust after correction
HSP90AA1,GlyGly (K),LPS+Nigericin / LPS,5,-0.438,-0.355,-0.083,0.366,0.0015,Robust after correction
HSP90AB1,HexNAc (ST),P3C4+Nigericin / P3C4,1,-1.183,-0.922,-0.262,0.262,0.0039,Substantially reduced
IL1B,Sulfo (STY),P3C4+Nigericin / P3C4,5,-2.697,-2.591,-0.106,0.746,0.004,Direction reversed
IL1B,Nitrosyl,P3C4+Nigericin / Unstim,1,-1.628,-0.305,-1.323,1.323,0.0046,Robust after correction
HSP90AA1,Oxidation (W),P3C4+Nigericin / P3C4,1,-1.217,-0.914,-0.303,0.303,0.0051,Substantially reduced
HSP90AA1,Oxidation (W),P3C4+Nigericin / Unstim,1,-1.197,-0.981,-0.216,0.216,0.0067,Substantially reduced
IL1B,Nitrosyl,LPS / Unstim,1,1.519,1.586,-0.068,0.068,0.0088,Direction reversed
HSP90AB1,Oxidation (W),P3C4+Nigericin / P3C4,2,-1.229,-0.922,-0.308,0.308,0.0108,Substantially reduced
IL1B,GlyGly (K),P3C4+Nigericin / P3C4,1,-2.773,-2.591,-0.182,0.182,0.012,Substantially reduced
IL1B,GlyGly (K),P3C4 / Unstim,1,2.405,2.286,0.119,0.119,0.013,Substantially reduced
IL1B,Hex (K),P3C4 / Unstim,1,2.405,2.286,0.119,0.119,0.013,Substantially reduced
IL1B,Myristoyl,LPS / Unstim,1,1.791,1.586,0.205,0.205,0.0138,Substantially reduced
HSP90AB1,Oxidation (W),P3C4+Nigericin / Unstim,2,-1.253,-0.98,-0.273,0.273,0.0163,Substantially reduced
IL1B,Hex (K),P3C4+Nigericin / P3C4,1,-2.193,-2.591,0.398,0.398,0.0197,Direction reversed
HSPA8,Sulfo (STY),P3C4+Nigericin / P3C4,6,-0.378,-0.881,0.503,0.89,0.0204,Substantially reduced
IL1B,Nitrosyl,P3C4+Nigericin / P3C4,1,-4.203,-2.591,-1.612,1.612,0.0232,Substantially reduced
IL1B,Sulfo (STY),P3C4 / Unstim,5,2.617,2.286,0.331,0.707,0.0243,Direction reversed
HSPA8,Myristoyl,P3C4+Nigericin / P3C4,3,-0.758,-0.881,0.123,0.367,0.0253,Substantially reduced
PYCARD,Trimethyl (K),LPS / Unstim,1,1.65,0.403,1.247,1.247,0.0297,Robust after correction
IL1B,Nitrosyl,P3C4 / Unstim,1,2.575,2.286,0.289,0.289,0.0303,Substantially reduced
HSP90AA1,GlyGly (K),P3C4+Nigericin / P3C4,5,-1.37,-0.914,-0.455,1.14,0.0321,Substantially reduced
HSP90AB1,GlyGly (K),P3C4+Nigericin / P3C4,2,-1.303,-0.922,-0.381,0.381,0.0363,Substantially reduced
HSPA8,Sulfo (STY),P3C4 / Unstim,6,1.691,0.01,1.681,1.727,0.0366,Protein stable
IL1B,Phospho (STY),P3C4 / Unstim,1,2.715,2.286,0.428,0.428,0.0391,Substantially reduced
IL1B,Sulfo (STY),LPS / Unstim,5,1.53,1.586,-0.056,0.248,0.0436,Direction reversed
IL1B,Phospho (STY),P3C4+Nigericin / P3C4,1,-2.794,-2.591,-0.203,0.203,0.0443,Substantially reduced
HSPA8,Myristoyl,P3C4+Nigericin / Unstim,2,-0.541,-0.871,0.33,0.419,0.0461,Substantially reduced
HSP90AB1,Nitrosyl,P3C4+Nigericin / P3C4,4,-1.764,-0.922,-0.842,0.905,0.0533,Substantially reduced
HSP90AB1,Nitrosyl,LPS+Nigericin / LPS,4,0.492,-0.359,0.851,1.042,0.0536,Robust after correction
HSP90AA1,Trimethyl (K),P3C4+Nigericin / P3C4,1,-0.926,-0.914,-0.011,0.011,0.0546,Substantially reduced
HSP90AA1,Acetyl (K),P3C4+Nigericin / P3C4,1,-1.34,-0.914,-0.425,0.425,0.0767,Substantially reduced
HSP90AA1,GlyGly (K),P3C4+Nigericin / Unstim,5,-1.116,-0.981,-0.135,1.211,0.0774,Direction reversed
HSP90AA1,Phospho (STY),P3C4+Nigericin / P3C4,1,-1.157,-0.914,-0.242,0.242,0.0804,Substantially reduced
HSPA8,Crotonyl,LPS+Nigericin / Unstim,3,-2.138,-0.515,-1.623,2.56,0.0839,Robust after correction
HSPA8,Sulfo (STY),LPS / Unstim,6,1.406,-0.299,1.705,1.879,0.0853,Protein stable
HSP90AA1,Nitrosyl,P3C4+Nigericin / P3C4,3,-2.865,-0.914,-1.951,2.341,0.0867,Substantially reduced
HSPA8,HexNAc (ST),LPS+Nigericin / Unstim,4,1.942,-0.515,2.457,2.457,0.0886,Robust after correction
HSPA8,Hex (K),LPS+Nigericin / Unstim,7,0.803,-0.515,1.317,1.817,0.0886,Robust after correction
HSPA8,Hex (K),LPS+Nigericin / LPS,6,0.066,-0.216,0.282,1.118,0.0889,Protein stable
HSPA8,Nitrosyl,LPS+Nigericin / LPS,1,-2.186,-0.216,-1.97,1.97,0.0931,Protein stable
HSP90AB1,Hex (K),LPS+Nigericin / LPS,1,0.588,-0.359,0.947,0.947,0.099,Robust after correction
HSP90AB1,Sulfo (STY),P3C4+Nigericin / P3C4,2,-1.079,-0.922,-0.157,0.249,0.0995,Direction reversed
HSPA8,HexNAc (ST),LPS / Unstim,4,3.906,-0.299,4.205,4.205,0.0999,Protein stable
HSPA8,GlyGly (K),LPS / Unstim,2,0.702,-0.299,1.001,1.277,0.0999,Protein stable
GSDMD,Nitrosyl,LPS / Unstim,2,1.343,-0.109,1.452,1.452,0.1012,Protein stable
HSPA8,Sulfo (STY),LPS+Nigericin / LPS,6,-1.224,-0.216,-1.008,1.598,0.1027,Protein stable
HSP90AA1,Acetyl (K),P3C4 / Unstim,1,1.859,-0.067,1.926,1.926,0.1094,Protein stable
HSPA8,Trimethyl (K),LPS+Nigericin / LPS,3,-0.357,-0.216,-0.141,0.414,0.1123,Protein stable
HSP90AA1,Trimethyl (K),P3C4+Nigericin / Unstim,2,-3.125,-0.981,-2.144,2.388,0.1126,Direction reversed
HSPA8,Hex (K),LPS / Unstim,6,0.735,-0.299,1.033,1.422,0.1185,Protein stable
HSP90AB1,Trimethyl (K),LPS / Unstim,2,-0.267,-0.337,0.07,0.07,0.1241,Direction reversed
HSP90AB1,Acetyl (K),P3C4+Nigericin / Unstim,2,-0.946,-0.98,0.035,0.271,0.1243,Substantially reduced
HSPA8,Myristoyl,LPS / Unstim,2,-0.117,-0.299,0.181,0.236,0.1289,Protein stable
HSP90AB1,Acetyl (K),P3C4+Nigericin / P3C4,2,-1.391,-0.922,-0.47,0.47,0.1293,Substantially reduced
PYCARD,Sulfo (STY),P3C4 / Unstim,1,1.939,0.521,1.418,1.418,0.1315,Robust after correction
HSP90AB1,Trimethyl (K),LPS+Nigericin / LPS,2,0.749,-0.359,1.109,1.109,0.1317,Robust after correction
HSP90AA1,GlyGly (K),P3C4 / Unstim,5,0.254,-0.067,0.321,0.397,0.1365,Protein stable
HSPA8,HexNAc (ST),LPS+Nigericin / LPS,4,-1.964,-0.216,-1.748,2.763,0.1393,Protein stable
HSP90AA1,GlyGly (K),LPS+Nigericin / Unstim,5,-0.972,-0.72,-0.252,3.923,0.1401,Direction reversed
HSP90AB1,Sulfo (STY),P3C4+Nigericin / Unstim,1,-0.64,-0.98,0.34,0.34,0.1402,Direction reversed
HSP90AB1,Crotonyl,LPS+Nigericin / Unstim,3,-0.484,-0.696,0.212,0.696,0.1404,Robust after correction
HSPA8,Trimethyl (K),P3C4+Nigericin / P3C4,2,-1.053,-0.881,-0.172,0.386,0.1417,Substantially reduced
HSP90AB1,Nitrosyl,P3C4+Nigericin / Unstim,4,1.376,-0.98,2.357,2.357,0.1432,Direction reversed
PYCARD,Sulfo (STY),LPS / Unstim,1,2.136,0.403,1.732,1.732,0.1446,Robust after correction
IL1B,Phospho (STY),LPS / Unstim,1,2.333,1.586,0.746,0.746,0.1481,Substantially reduced
IL1B,Sulfo (STY),LPS+Nigericin / LPS,5,-0.915,-0.922,0.006,0.214,0.1532,Substantially reduced
HSP90AB1,Oxidation (W),LPS+Nigericin / Unstim,2,-0.861,-0.696,-0.165,0.165,0.1579,Substantially reduced
GSDMD,Nitrosyl,LPS+Nigericin / Unstim,2,1.889,0.135,1.754,1.754,0.1583,Protein stable
HSP90AB1,Nitrosyl,LPS+Nigericin / Unstim,4,3.016,-0.696,3.712,3.852,0.1635,Substantially reduced
IL1B,Myristoyl,P3C4+Nigericin / P3C4,1,-3.287,-2.591,-0.696,0.696,0.1639,Substantially reduced
HSP90AA1,Oxidation (W),LPS / Unstim,1,-0.521,-0.365,-0.156,0.156,0.1672,Substantially reduced
HSP90AA1,Oxidation (W),LPS+Nigericin / Unstim,1,-0.577,-0.72,0.143,0.143,0.1682,Direction reversed
IL1B,Myristoyl,P3C4 / Unstim,1,2.968,2.286,0.681,0.681,0.1699,Substantially reduced
HSPA8,Hex (K),P3C4+Nigericin / Unstim,7,0.569,-0.871,1.439,1.439,0.1717,Robust after correction
GSDMD,Oxidation (W),LPS / Unstim,1,1.565,-0.109,1.674,1.674,0.1733,Protein stable
PPP2CA,Trimethyl (K),P3C4+Nigericin / P3C4,1,-0.545,-0.949,0.404,0.404,0.1741,Direction reversed
HSP90AA1,Phospho (STY),P3C4 / Unstim,1,0.544,-0.067,0.61,0.61,0.1775,Protein stable
HSPA8,Crotonyl,LPS+Nigericin / LPS,3,-2.208,-0.216,-1.992,2.499,0.1829,Protein stable
IL1B,Acetyl (K),LPS+Nigericin / LPS,1,-9.594,-0.922,-8.672,8.672,0.1858,Robust after correction
PYCARD,Trimethyl (K),P3C4+Nigericin / Unstim,1,-5.442,0.637,-6.079,6.079,0.187,Robust after correction
HSP90AB1,Phospho (STY),LPS+Nigericin / Unstim,1,10.944,-0.696,11.641,11.641,0.1875,Robust after correction
HSPA8,Nitrosyl,LPS / Unstim,1,1.475,-0.299,1.774,1.774,0.1889,Protein stable
HSPA8,Phospho (STY),P3C4+Nigericin / P3C4,4,0.53,-0.881,1.41,1.41,0.1917,Direction reversed
HSP90AA1,Phospho (STY),LPS+Nigericin / Unstim,1,-1.174,-0.72,-0.454,0.454,0.1938,Substantially reduced
IL1B,Trimethyl (K),LPS+Nigericin / Unstim,2,3.368,0.665,2.703,2.703,0.1947,Robust after correction
PYCARD,Trimethyl (K),P3C4+Nigericin / P3C4,1,-6.664,0.116,-6.779,6.779,0.1983,Protein stable
IL1B,Acetyl (K),P3C4+Nigericin / P3C4,1,-4.241,-2.591,-1.65,1.65,0.1986,Substantially reduced
IL1B,Myristoyl,LPS+Nigericin / LPS,1,-0.898,-0.922,0.023,0.023,0.2005,Direction reversed
IL1B,Acetyl (K),P3C4 / Unstim,1,3.964,2.286,1.678,1.678,0.2015,Substantially reduced
IL1B,Trimethyl (K),LPS+Nigericin / LPS,2,1.992,-0.922,2.914,2.914,0.2038,Robust after correction
IL1B,Acetyl (K),LPS / Unstim,1,3.652,1.586,2.065,2.065,0.2068,Robust after correction
HSPA8,Sulfo (STY),LPS+Nigericin / Unstim,6,0.182,-0.515,0.697,0.697,0.2077,Robust after correction
HSP90AB1,Oxidation (W),LPS / Unstim,2,-0.237,-0.337,0.1,0.145,0.212,Substantially reduced
IL1B,Sulfo (STY),P3C4+Nigericin / Unstim,4,-0.506,-0.305,-0.201,0.337,0.2134,Robust after correction
IL1B,Trimethyl (K),P3C4+Nigericin / P3C4,2,-0.524,-2.591,2.067,2.607,0.2169,Substantially reduced
HSP90AB1,Phospho (STY),P3C4+Nigericin / P3C4,1,10.808,-0.922,11.729,11.729,0.2171,Robust after correction
HSP90AB1,Phospho (STY),P3C4+Nigericin / Unstim,1,10.458,-0.98,11.438,11.438,0.2172,Robust after correction
HSP90AA1,Sulfo (STY),P3C4 / Unstim,3,-0.644,-0.067,-0.577,0.712,0.2196,Protein stable
HSP90AA1,Nitrosyl,LPS / Unstim,4,-0.705,-0.365,-0.34,0.458,0.2213,Robust after correction
IL1B,Trimethyl (K),P3C4 / Unstim,2,2.905,2.286,0.619,0.619,0.2227,Substantially reduced
HSP90AA1,Nitrosyl,LPS+Nigericin / LPS,4,-1.903,-0.355,-1.548,2.028,0.2245,Direction reversed
HSP90AB1,Trimethyl (K),LPS+Nigericin / Unstim,2,0.482,-0.696,1.178,1.178,0.2293,Robust after correction
