Genes,PTM.ModificationTitle,Comparison (group1/group2),N_sites,Mean_log2FC,Mean_abs_log2FC,Min_Pvalue
HSP90AA1,Nitrosyl,P3C4+Nigericin / Unstim,4,-4.127,4.127,0
HSP90AA1,GlyGly (K),LPS+Nigericin / LPS,5,-0.438,0.467,0.0015
HSP90AA1,Phospho (STY),LPS+Nigericin / LPS,1,-1.387,1.387,0.0015
HSP90AB1,HexNAc (ST),P3C4+Nigericin / P3C4,1,-1.183,1.183,0.0039
IL1B,Sulfo (STY),P3C4+Nigericin / P3C4,5,-2.697,2.697,0.004
IL1B,Nitrosyl,P3C4+Nigericin / Unstim,1,-1.628,1.628,0.0046
HSP90AA1,Oxidation (W),P3C4+Nigericin / P3C4,1,-1.217,1.217,0.0051
HSP90AA1,Oxidation (W),P3C4+Nigericin / Unstim,1,-1.197,1.197,0.0067
IL1B,Nitrosyl,LPS / Unstim,1,1.519,1.519,0.0088
HSP90AB1,Oxidation (W),P3C4+Nigericin / P3C4,2,-1.229,1.229,0.0108
IL1B,GlyGly (K),P3C4+Nigericin / P3C4,1,-2.773,2.773,0.012
IL1B,GlyGly (K),P3C4 / Unstim,1,2.405,2.405,0.013
IL1B,Hex (K),P3C4 / Unstim,1,2.405,2.405,0.013
IL1B,Myristoyl,LPS / Unstim,1,1.791,1.791,0.0138
HSP90AB1,Oxidation (W),P3C4+Nigericin / Unstim,2,-1.253,1.253,0.0163
IL1B,Hex (K),P3C4+Nigericin / P3C4,1,-2.193,2.193,0.0197
HSPA8,Sulfo (STY),P3C4+Nigericin / P3C4,6,-0.378,0.847,0.0204
IL1B,Nitrosyl,P3C4+Nigericin / P3C4,1,-4.203,4.203,0.0232
IL1B,Sulfo (STY),P3C4 / Unstim,5,2.617,2.617,0.0243
HSPA8,Myristoyl,P3C4+Nigericin / P3C4,3,-0.758,0.758,0.0253
PYCARD,Trimethyl (K),LPS / Unstim,1,1.65,1.65,0.0297
IL1B,Nitrosyl,P3C4 / Unstim,1,2.575,2.575,0.0303
HSP90AA1,GlyGly (K),P3C4+Nigericin / P3C4,5,-1.37,1.552,0.0321
HSP90AB1,GlyGly (K),P3C4+Nigericin / P3C4,2,-1.303,1.303,0.0363
HSPA8,Sulfo (STY),P3C4 / Unstim,6,1.691,1.731,0.0366
IL1B,Phospho (STY),P3C4 / Unstim,1,2.715,2.715,0.0391
IL1B,Sulfo (STY),LPS / Unstim,5,1.53,1.53,0.0436
IL1B,Phospho (STY),P3C4+Nigericin / P3C4,1,-2.794,2.794,0.0443
HSPA8,Myristoyl,P3C4+Nigericin / Unstim,2,-0.541,0.541,0.0461
HSP90AB1,Nitrosyl,P3C4+Nigericin / P3C4,4,-1.764,1.764,0.0533
HSP90AB1,Nitrosyl,LPS+Nigericin / LPS,4,0.492,1.026,0.0536
HSP90AA1,Trimethyl (K),P3C4+Nigericin / P3C4,1,-0.926,0.926,0.0546
HSP90AA1,Acetyl (K),P3C4+Nigericin / P3C4,1,-1.34,1.34,0.0767
HSP90AA1,GlyGly (K),P3C4+Nigericin / Unstim,5,-1.116,1.463,0.0774
HSP90AA1,Phospho (STY),P3C4+Nigericin / P3C4,1,-1.157,1.157,0.0804
HSPA8,Crotonyl,LPS+Nigericin / Unstim,3,-2.138,2.388,0.0839
HSPA8,Sulfo (STY),LPS / Unstim,6,1.406,1.78,0.0853
HSP90AA1,Nitrosyl,P3C4+Nigericin / P3C4,3,-2.865,2.865,0.0867
HSPA8,Hex (K),LPS+Nigericin / Unstim,7,0.803,1.718,0.0886
HSPA8,HexNAc (ST),LPS+Nigericin / Unstim,4,1.942,2.326,0.0886
HSPA8,Hex (K),LPS+Nigericin / LPS,6,0.066,1.046,0.0889
HSPA8,Nitrosyl,LPS+Nigericin / LPS,1,-2.186,2.186,0.0931
HSP90AB1,Hex (K),LPS+Nigericin / LPS,1,0.588,0.588,0.099
HSP90AB1,Sulfo (STY),P3C4+Nigericin / P3C4,2,-1.079,1.079,0.0995
HSPA8,GlyGly (K),LPS / Unstim,2,0.702,1.277,0.0999
HSPA8,HexNAc (ST),LPS / Unstim,4,3.906,3.906,0.0999
GSDMD,Nitrosyl,LPS / Unstim,2,1.343,1.343,0.1012
HSPA8,Sulfo (STY),LPS+Nigericin / LPS,6,-1.224,1.67,0.1027
HSP90AA1,Acetyl (K),P3C4 / Unstim,1,1.859,1.859,0.1094
HSPA8,Trimethyl (K),LPS+Nigericin / LPS,3,-0.357,0.486,0.1123
HSP90AA1,Trimethyl (K),P3C4+Nigericin / Unstim,2,-3.125,3.125,0.1126
HSPA8,Hex (K),LPS / Unstim,6,0.735,1.471,0.1185
HSP90AB1,Trimethyl (K),LPS / Unstim,2,-0.267,0.267,0.1241
HSP90AB1,Acetyl (K),P3C4+Nigericin / Unstim,2,-0.946,0.946,0.1243
HSPA8,Myristoyl,LPS / Unstim,2,-0.117,0.236,0.1289
HSP90AB1,Acetyl (K),P3C4+Nigericin / P3C4,2,-1.391,1.391,0.1293
PYCARD,Sulfo (STY),P3C4 / Unstim,1,1.939,1.939,0.1315
HSP90AB1,Trimethyl (K),LPS+Nigericin / LPS,2,0.749,0.749,0.1317
HSP90AA1,GlyGly (K),P3C4 / Unstim,5,0.254,0.359,0.1365
HSPA8,HexNAc (ST),LPS+Nigericin / LPS,4,-1.964,2.871,0.1393
HSP90AA1,GlyGly (K),LPS+Nigericin / Unstim,5,-0.972,4.224,0.1401
HSP90AB1,Sulfo (STY),P3C4+Nigericin / Unstim,1,-0.64,0.64,0.1402
HSP90AB1,Crotonyl,LPS+Nigericin / Unstim,3,-0.484,0.484,0.1404
HSPA8,Trimethyl (K),P3C4+Nigericin / P3C4,2,-1.053,1.053,0.1417
HSP90AB1,Nitrosyl,P3C4+Nigericin / Unstim,4,1.376,2.247,0.1432
PYCARD,Sulfo (STY),LPS / Unstim,1,2.136,2.136,0.1446
IL1B,Phospho (STY),LPS / Unstim,1,2.333,2.333,0.1481
IL1B,Sulfo (STY),LPS+Nigericin / LPS,5,-0.915,0.915,0.1532
HSP90AB1,Oxidation (W),LPS+Nigericin / Unstim,2,-0.861,0.861,0.1579
GSDMD,Nitrosyl,LPS+Nigericin / Unstim,2,1.889,1.889,0.1583
HSP90AB1,Nitrosyl,LPS+Nigericin / Unstim,4,3.016,3.852,0.1635
IL1B,Myristoyl,P3C4+Nigericin / P3C4,1,-3.287,3.287,0.1639
HSP90AA1,Oxidation (W),LPS / Unstim,1,-0.521,0.521,0.1672
HSP90AA1,Oxidation (W),LPS+Nigericin / Unstim,1,-0.577,0.577,0.1682
IL1B,Myristoyl,P3C4 / Unstim,1,2.968,2.968,0.1699
HSPA8,Hex (K),P3C4+Nigericin / Unstim,7,0.569,0.646,0.1717
GSDMD,Oxidation (W),LPS / Unstim,1,1.565,1.565,0.1733
PPP2CA,Trimethyl (K),P3C4+Nigericin / P3C4,1,-0.545,0.545,0.1741
HSP90AA1,Phospho (STY),P3C4 / Unstim,1,0.544,0.544,0.1775
HSPA8,Crotonyl,LPS+Nigericin / LPS,3,-2.208,2.489,0.1829
IL1B,Acetyl (K),LPS+Nigericin / LPS,1,-9.594,9.594,0.1858
PYCARD,Trimethyl (K),P3C4+Nigericin / Unstim,1,-5.442,5.442,0.187
HSP90AB1,Phospho (STY),LPS+Nigericin / Unstim,1,10.944,10.944,0.1875
HSPA8,Nitrosyl,LPS / Unstim,1,1.475,1.475,0.1889
HSPA8,Phospho (STY),P3C4+Nigericin / P3C4,4,0.53,1.183,0.1917
HSP90AA1,Phospho (STY),LPS+Nigericin / Unstim,1,-1.174,1.174,0.1938
IL1B,Trimethyl (K),LPS+Nigericin / Unstim,2,3.368,3.368,0.1947
PYCARD,Trimethyl (K),P3C4+Nigericin / P3C4,1,-6.664,6.664,0.1983
IL1B,Acetyl (K),P3C4+Nigericin / P3C4,1,-4.241,4.241,0.1986
IL1B,Myristoyl,LPS+Nigericin / LPS,1,-0.898,0.898,0.2005
IL1B,Acetyl (K),P3C4 / Unstim,1,3.964,3.964,0.2015
IL1B,Trimethyl (K),LPS+Nigericin / LPS,2,1.992,2.065,0.2038
IL1B,Acetyl (K),LPS / Unstim,1,3.652,3.652,0.2068
HSPA8,Sulfo (STY),LPS+Nigericin / Unstim,6,0.182,0.29,0.2077
HSP90AB1,Oxidation (W),LPS / Unstim,2,-0.237,0.237,0.212
IL1B,Sulfo (STY),P3C4+Nigericin / Unstim,4,-0.506,0.506,0.2134
IL1B,Trimethyl (K),P3C4+Nigericin / P3C4,2,-0.524,2.607,0.2169
HSP90AB1,Phospho (STY),P3C4+Nigericin / P3C4,1,10.808,10.808,0.2171
HSP90AB1,Phospho (STY),P3C4+Nigericin / Unstim,1,10.458,10.458,0.2172
HSP90AA1,Sulfo (STY),P3C4 / Unstim,3,-0.644,0.734,0.2196
HSP90AA1,Nitrosyl,LPS / Unstim,4,-0.705,0.705,0.2213
IL1B,Trimethyl (K),P3C4 / Unstim,2,2.905,2.905,0.2227
HSP90AA1,Nitrosyl,LPS+Nigericin / LPS,4,-1.903,2.159,0.2245
HSP90AB1,Trimethyl (K),LPS+Nigericin / Unstim,2,0.482,0.482,0.2293
HSP90AB1,Crotonyl,P3C4+Nigericin / Unstim,3,-1.382,1.382,0.2302
HSP90AB1,Acetyl (K),LPS / Unstim,2,-0.39,0.39,0.2419
HSP90AB1,Crotonyl,P3C4+Nigericin / P3C4,3,-1.519,1.519,0.2438
HSPA8,Crotonyl,P3C4+Nigericin / Unstim,3,1.969,2.421,0.245
HSP90AA1,Sulfo (STY),P3C4+Nigericin / Unstim,1,-0.902,0.902,0.2498
HSPA8,Sulfo (STY),P3C4+Nigericin / Unstim,6,1.313,1.73,0.2513
HSPA8,Oxidation (W),P3C4+Nigericin / P3C4,1,-0.552,0.552,0.2559
HSPA8,HexNAc (ST),P3C4 / Unstim,4,3.771,3.771,0.265
HSP90AA1,Sulfo (STY),P3C4+Nigericin / P3C4,1,-1.037,1.037,0.2664
HSP90AB1,GlyGly (K),LPS+Nigericin / Unstim,2,-0.759,2.096,0.2713
HSP90AB1,Crotonyl,LPS+Nigericin / LPS,3,-0.58,0.58,0.2722
IL1B,Nitrosyl,LPS+Nigericin / LPS,1,-0.957,0.957,0.2811
HSPA8,Trimethyl (K),LPS / Unstim,3,-0.201,0.379,0.2814
