Comparison (group1/group2),PTM.ModificationTitle,N_unique_proteins,N_unique_sites,N_rows,Mean_abs_log2FC,Median_abs_log2FC
P3C4+Nigericin / Unstim,GlyGly (K),380,576,576,2.234,1.045
Nigericin / Unstim,GlyGly (K),381,577,577,2.17,0.992
P3C4+Nigericin / P3C4,GlyGly (K),382,578,578,2.049,0.999
P3C4+Nigericin / Unstim,Hex (K),279,408,408,2.009,0.923
P3C4+Nigericin / P3C4,Crotonyl,394,591,591,1.992,0.939
P3C4+Nigericin / P3C4,Hex (K),283,415,415,1.991,0.87
Nigericin / Unstim,Hex (K),284,415,415,1.956,0.857
LPS / Unstim,Hex (K),281,412,412,1.919,0.618
LPS+Nigericin / Unstim,Hex (K),280,410,410,1.905,0.745
LPS+Nigericin / Unstim,GlyGly (K),377,557,557,1.864,0.844
Nigericin / Unstim,Crotonyl,399,599,599,1.859,0.852
P3C4+Nigericin / Unstim,Trimethyl (K),508,876,876,1.858,0.963
LPS+Nigericin / P3C4,Acetyl (K),311,431,431,1.844,0.755
LPS+Nigericin / P3C4,GlyGly (K),381,561,561,1.825,0.791
P3C4+Nigericin / LPS,Hex (K),279,412,412,1.825,0.858
P3C4+Nigericin / LPS,GlyGly (K),375,561,561,1.823,0.779
P3C4+Nigericin / Unstim,Myristoyl,357,512,512,1.813,0.937
P3C4+Nigericin / Unstim,Crotonyl,392,592,592,1.786,0.887
P3C4+Nigericin / LPS,Acetyl (K),310,437,437,1.763,0.785
P3C4 / Unstim,Hex (K),286,419,419,1.759,0.522
P3C4+Nigericin / Unstim,Phospho (STY),414,629,629,1.757,0.917
P3C4+Nigericin / P3C4,Myristoyl,365,521,521,1.751,0.905
P3C4+Nigericin / LPS,Trimethyl (K),510,880,880,1.75,0.885
P3C4+Nigericin / P3C4,Trimethyl (K),511,877,877,1.73,0.952
P3C4+Nigericin / Nigericin,GlyGly (K),384,583,583,1.727,0.692
Nigericin / Unstim,Myristoyl,360,512,512,1.724,0.838
P3C4+Nigericin / Unstim,Acetyl (K),318,444,444,1.723,0.873
P3C4 / Unstim,GlyGly (K),383,578,578,1.714,0.504
LPS+Nigericin / Unstim,Crotonyl,400,604,604,1.71,0.659
Nigericin / Unstim,Acetyl (K),307,437,437,1.709,0.839
P3C4+Nigericin / P3C4,Phospho (STY),417,625,625,1.705,0.987
Nigericin / Unstim,Phospho (STY),415,630,630,1.704,0.886
P3C4+Nigericin / LPS,Crotonyl,396,596,596,1.704,0.81
LPS+Nigericin / P3C4,Crotonyl,393,593,593,1.699,0.649
P3C4+Nigericin / LPS+Nigericin,Hex (K),284,418,418,1.693,0.603
LPS+Nigericin / Unstim,Acetyl (K),312,443,443,1.69,0.673
LPS / Unstim,GlyGly (K),378,567,567,1.685,0.59
Nigericin / Unstim,Trimethyl (K),515,877,877,1.684,0.884
LPS+Nigericin / Unstim,Trimethyl (K),512,881,881,1.68,0.749
P3C4+Nigericin / LPS,Phospho (STY),415,618,618,1.663,0.8
LPS+Nigericin / P3C4,Trimethyl (K),511,879,879,1.658,0.705
LPS+Nigericin / Unstim,Myristoyl,358,515,515,1.651,0.71
LPS+Nigericin / P3C4,Hex (K),282,412,412,1.649,0.648
LPS / Unstim,Acetyl (K),310,439,439,1.647,0.576
LPS+Nigericin / LPS,Acetyl (K),311,436,436,1.64,0.668
P3C4+Nigericin / Nigericin,Hex (K),284,417,417,1.639,0.541
P3C4+Nigericin / Unstim,HexNAc (ST),337,526,526,1.632,0.867
P3C4+Nigericin / LPS+Nigericin,Crotonyl,394,599,599,1.627,0.536
LPS+Nigericin / LPS,Trimethyl (K),513,870,870,1.623,0.661
P3C4+Nigericin / P3C4,Acetyl (K),311,434,434,1.62,0.834
