PTM.ModificationTitle,rows_total,rows_candidate,candidate_frac,median_abs_log2,median_p,median_ratios,median_unique_peps
Carbamidomethyl (C),179795,27402,0.1524069078672933,0.6795201907598222,0.2049370810726494,6.0,24.0
Didehydro,43408,4259,0.09811555473645411,0.8563932289003457,0.3219538568341307,6.0,37.0
Oxidation (M),52398,3728,0.07114775373105844,0.6598476548039075,0.3154735159241891,6.0,34.0
Oxidation (P),28495,2833,0.09942095104404282,0.7519645712726831,0.3107577685253907,6.0,36.0
Methyl (E),27040,2634,0.0974112426035503,0.8251131842170786,0.3017661767970767,6.0,35.0
Cation:Na (DE),20131,1756,0.08722865232725648,0.8795545766637033,0.35282524355914,6.0,38.0
Cation:Mg[II],17114,1465,0.08560243075844338,0.8755924934912394,0.3388130336738579,6.0,38.0
Dimethyl (KR),15825,1413,0.08928909952606635,0.9307388760709636,0.3501817126659539,6.0,36.0
Sulfo (STY),15292,1287,0.0841616531519749,0.8724469839141549,0.35459043542857777,6.0,37.0
Carbamylation (KR),15631,1224,0.07830593052267928,0.913312125862181,0.3612999715369789,6.0,38.0
Methyl (KR),11516,1133,0.09838485585272665,0.8704760096271595,0.31863957338216803,6.0,37.0
Formyl,12624,1104,0.08745247148288973,0.8858250175910545,0.35884865990144477,6.0,35.0
Dioxidation (MW),11525,1080,0.09370932754880694,0.7749069986331216,0.314640450009012,6.0,40.0
Hydroxymethyl,10958,1027,0.09372148202226684,0.8881816460144911,0.33813692621839,6.0,32.0
Nitrosyl,10430,1017,0.0975071907957814,0.8568480197842823,0.3157612991989175,6.0,34.0
Carboxymethyl,7574,728,0.09611829944547134,0.8801727392051816,0.3358924180129812,6.0,37.0
Phospho (STY),7179,716,0.09973533918373033,0.969199678043548,0.3538777452407198,6.0,40.0
Propionamide,9391,679,0.07230326908742413,0.9943723447426532,0.3764577661267488,6.0,35.0
Trimethyl (K),10311,662,0.06420327805256522,1.0870654535433524,0.4058913151518009,6.0,38.0
Trioxidation (C),6563,654,0.0996495505104373,0.8442565384970098,0.3171915830859595,6.0,34.0
Carboxy,8444,638,0.07555660824253908,0.8736877549549658,0.37219671856444736,6.0,37.0
Oxidation (W),4600,602,0.1308695652173913,0.7176298599372035,0.2717756745248753,6.0,39.0
Crotonyl,6825,513,0.07516483516483516,1.02108757522149,0.3933277923694616,6.0,40.0
Myristoyl,5941,440,0.074061605790271,1.0267468600413483,0.3872742603314095,6.0,40.0
GlyGly (K),6760,439,0.06494082840236687,1.1637715401280957,0.41335783215010563,6.0,38.0
HexNAc (ST),5854,397,0.06781687734882132,0.9151142213653166,0.3734838343924973,6.0,41.0
Biotin,4498,354,0.07870164517563362,1.0197872960818384,0.3858284952616239,6.0,43.0
Acetyl (K),5053,347,0.06867207599445874,1.022850686885982,0.3903116067367064,6.0,38.0
Hex (K),4836,274,0.05665839536807279,1.0453117477466833,0.4163057648787275,6.0,40.0
Phosphoadenosine,2520,160,0.06349206349206349,0.9087319985626289,0.4084666097558892,6.0,38.0
Cysteinyl,1868,112,0.059957173447537475,1.1078576185701383,0.390985712364866,6.0,38.0
