Comparison (group1/group2),PTM.ModificationTitle,n,n_qvalue_nonnull,n_sig,n_up_sig,n_down_sig,median_abs_log2,median_log2,mean_log2,median_qvalue
LPS / LPS+Nigericin,Acetyl (K),452,452,0,0,0,0.669457505649331,0.0152854938006222,0.03281113627654461,0.6339725372541863
LPS / LPS+Nigericin,Biotin,405,405,0,0,0,0.6730359860015379,0.2013508811494031,0.47189223625171367,0.6339725372541863
LPS / LPS+Nigericin,Carbamidomethyl (C),18128,18128,0,0,0,0.41425234544715445,0.16367233789917615,0.15700852059595213,0.6339725372541863
LPS / LPS+Nigericin,Carbamylation (KR),1411,1411,0,0,0,0.6114289776476263,0.0942775461229965,0.05423166198910522,0.6339725372541863
LPS / LPS+Nigericin,Carboxy,814,814,0,0,0,0.5941378593440738,0.1092174287968066,0.17329748517377142,0.6339725372541863
LPS / LPS+Nigericin,Carboxymethyl,725,725,0,0,0,0.5555058778776651,0.1330960567168873,0.0469229108465395,0.6339725372541863
LPS / LPS+Nigericin,Cation:Mg[II],1598,1598,0,0,0,0.5863192546196374,0.149608327616672,0.13893037334761643,0.6339725372541863
LPS / LPS+Nigericin,Cation:Na (DE),1860,1860,0,0,0,0.5729785862072239,0.10334775477580885,0.03579177808750623,0.6345518995993296
LPS / LPS+Nigericin,Crotonyl,625,625,0,0,0,0.6275860917123381,0.0533283797555703,-0.04001485919726989,0.6339725372541863
LPS / LPS+Nigericin,Cysteinyl,170,170,0,0,0,0.6950319567851388,0.04904044312616715,0.22888093178325777,0.6339725372541863
LPS / LPS+Nigericin,Didehydro,4076,4076,0,0,0,0.5434390764388211,0.1354562737967851,0.15459053525723673,0.6340437434112133
LPS / LPS+Nigericin,Dimethyl (KR),1454,1454,0,0,0,0.608453730861539,0.11933178825660055,-0.06842892321904193,0.6339725372541863
LPS / LPS+Nigericin,Dioxidation (MW),1128,1128,0,0,0,0.5503814005378256,0.19910409548887376,0.17915212495074626,0.6339725372541863
LPS / LPS+Nigericin,Formyl,1186,1186,0,0,0,0.5869105628277651,0.0837012618128493,0.04367826925751815,0.6339725372541863
LPS / LPS+Nigericin,GlyGly (K),575,575,0,0,0,0.746161199087012,0.0581654436708098,-0.06930804255179775,0.6339725372541863
LPS / LPS+Nigericin,Hex (K),437,437,0,0,0,0.6220619570070605,0.0571372835166573,0.06475130586804166,0.6339725372541863
LPS / LPS+Nigericin,HexNAc (ST),541,541,0,0,0,0.5665414713743835,0.1412112795504442,-0.0008058661475256629,0.6346727233443742
LPS / LPS+Nigericin,Hydroxymethyl,1013,1013,0,0,0,0.5674463094891318,0.195521791986247,0.08133788926058028,0.6339725372541863
LPS / LPS+Nigericin,Methyl (E),2577,2577,0,0,0,0.5553904763318878,0.1617496585238331,0.1263283323774174,0.6339725372541863
LPS / LPS+Nigericin,Methyl (KR),1072,1072,0,0,0,0.5474838751875455,0.14430717209905752,0.1277307393781239,0.6339725372541863
LPS / LPS+Nigericin,Myristoyl,534,534,0,0,0,0.6330493434356369,0.1608498068263715,0.11632313907461822,0.6339725372541863
LPS / LPS+Nigericin,Nitrosyl,975,975,0,0,0,0.5661678381008898,0.1353897982101485,0.11358392721178574,0.6339725372541863
LPS / LPS+Nigericin,Oxidation (M),5477,5477,0,0,0,0.4469939889598832,0.0103531096428795,-0.027958111162373407,0.6446967892003463
LPS / LPS+Nigericin,Oxidation (P),2787,2787,0,0,0,0.5112999475334944,0.1496979907998932,0.1389189627521632,0.6339725372541863
LPS / LPS+Nigericin,Oxidation (W),474,474,0,0,0,0.4817158986557383,0.29104819835589435,0.3270569618051945,0.6339725372541863
LPS / LPS+Nigericin,Phospho (STY),632,632,0,0,0,0.5979087236954571,0.21165651533548194,0.1631862977348658,0.6339725372541863
LPS / LPS+Nigericin,Phosphoadenosine,243,243,0,0,0,0.5608756322699364,-0.0850936714685649,-0.18176900948483724,0.6341281892221723
LPS / LPS+Nigericin,Propionamide,839,839,0,0,0,0.6555294039659114,0.1398846285765155,0.30037668523356836,0.6339725372541863
LPS / LPS+Nigericin,Sulfo (STY),1436,1436,0,0,0,0.5502186841359726,0.14067195635865604,0.14832007502770056,0.6408274869285457
LPS / LPS+Nigericin,Trimethyl (K),911,911,0,0,0,0.6664539367343855,0.0935045240398407,0.0840998236656445,0.6339725372541863
LPS / LPS+Nigericin,Trioxidation (C),628,628,0,0,0,0.5343596588928483,0.1364790833814189,0.0870989239838354,0.6339725372541863
LPS / Nigericin,Acetyl (K),447,447,0,0,0,0.8125971422402409,0.0075777154500267,0.11455517619622502,0.6339725372541863
LPS / Nigericin,Biotin,405,405,0,0,0,0.884665146626152,0.2199585965874441,0.22232095859452683,0.6339725372541863
LPS / Nigericin,Carbamidomethyl (C),18134,18134,0,0,0,0.5163015773183004,0.0831523837274679,0.129685315612322,0.6272873085964988
LPS / Nigericin,Carbamylation (KR),1440,1440,0,0,0,0.7547349730900503,0.0791268668781733,0.06077518596726297,0.6339725372541863
LPS / Nigericin,Carboxy,792,792,0,0,0,0.7062004412175367,0.12073614801733935,0.138113622363269,0.6339725372541863
LPS / Nigericin,Carboxymethyl,726,726,0,0,0,0.725489829648418,0.1060126992024865,0.006858645110564211,0.6339725372541863
LPS / Nigericin,Cation:Mg[II],1598,1598,0,0,0,0.7241478329379687,0.1703246615527207,0.18473184142509455,0.6339725372541863
LPS / Nigericin,Cation:Na (DE),1833,1833,0,0,0,0.7358694041637442,0.1291927752060317,0.10576579438928271,0.6339725372541863
LPS / Nigericin,Crotonyl,624,624,0,0,0,0.8052446739081405,0.0244393670732682,-0.2533290989191758,0.6339725372541863
LPS / Nigericin,Cysteinyl,170,170,0,0,0,0.8419740582656712,0.0387604643590351,-0.030813939647639992,0.6339725372541863
LPS / Nigericin,Didehydro,4060,4060,0,0,0,0.7171576112385449,0.1757390191037772,0.17325085960843478,0.6339725372541863
LPS / Nigericin,Dimethyl (KR),1464,1464,0,0,0,0.7650212949704445,0.13310435044609387,0.06501216510052082,0.6339725372541863
LPS / Nigericin,Dioxidation (MW),1126,1126,0,0,0,0.6448896236039598,0.10743409850801194,0.07959765044077782,0.6339725372541863
LPS / Nigericin,Formyl,1196,1196,0,0,0,0.722300518807782,0.11508798436913045,0.07951729125290428,0.6339725372541863
LPS / Nigericin,GlyGly (K),588,588,0,0,0,0.816695502789752,0.0422006287481985,0.2197783469620214,0.6339725372541863
LPS / Nigericin,Hex (K),439,439,0,0,0,0.8044322387285429,0.0702675671122966,0.1393978427825386,0.6339725372541863
LPS / Nigericin,HexNAc (ST),542,542,0,0,0,0.7004628370631945,0.23763451077977454,0.3004865232830189,0.6339725372541863
LPS / Nigericin,Hydroxymethyl,1015,1015,0,0,0,0.7231213873030238,0.1811511547365788,0.14651494931804618,0.6339725372541863
LPS / Nigericin,Methyl (E),2576,2576,0,0,0,0.688290112669927,0.17875853258043894,0.17033396214835098,0.6339725372541863
LPS / Nigericin,Methyl (KR),1083,1083,0,0,0,0.7263689274583508,0.1865794397978948,0.2426220240501439,0.6339725372541863
LPS / Nigericin,Myristoyl,536,536,0,0,0,0.8343151059792517,0.2310315923083305,0.17921499816472516,0.6339725372541863
LPS / Nigericin,Nitrosyl,975,975,0,0,0,0.7344905587612173,0.1147397870564131,0.09050561343242494,0.6339725372541863
LPS / Nigericin,Oxidation (M),5472,5472,0,0,0,0.6054064292660322,-0.1560845738749787,-0.11381206592820832,0.6339725372541863
LPS / Nigericin,Oxidation (P),2779,2779,0,0,0,0.627690347151009,0.113358656442855,0.18416776938213608,0.6339725372541863
LPS / Nigericin,Oxidation (W),476,476,0,0,0,0.6219314398704712,0.22245596102382298,0.3289010594318223,0.6339725372541863
LPS / Nigericin,Phospho (STY),639,639,0,0,0,0.8402445305830648,0.3109867664215799,0.33302398229378877,0.6339725372541863
LPS / Nigericin,Phosphoadenosine,239,239,0,0,0,0.717255100561117,-0.0708665979754137,0.08353302697393128,0.6339725372541863
LPS / Nigericin,Propionamide,853,853,0,0,0,0.7919077948417208,0.1565086259882546,0.26204095549540246,0.6339725372541863
LPS / Nigericin,Sulfo (STY),1430,1430,0,0,0,0.6861306714606834,0.122806377888677,0.15109271341179098,0.6339725372541863
LPS / Nigericin,Trimethyl (K),908,908,0,0,0,0.8503846942686736,0.0944795947620821,0.06569628139140013,0.6339725372541863
LPS / Nigericin,Trioxidation (C),623,623,0,0,0,0.7500801975723695,0.1882019450154946,0.24424551376357911,0.6339725372541863
LPS+Nigericin / Nigericin,Acetyl (K),456,456,0,0,0,0.46202142429355514,-0.0067934255959927504,0.009972872197097913,0.6448134964790858
LPS+Nigericin / Nigericin,Biotin,413,413,0,0,0,0.4561591553584388,-0.0007882108785061,-0.2949503356659548,0.654642877972669
LPS+Nigericin / Nigericin,Carbamidomethyl (C),18128,18128,0,0,0,0.2539906486331719,-0.066925944965064,-0.026362496466294016,0.6743246799554871
