Genes,N_robust_sites,PTM_classes,Comparisons,Max_abs_corr,Mean_abs_corr
AHNAK,19,7,6,10.32550162,3.51384301
MYH9,8,6,4,9.525669512,2.748783038
HSPA1A;HSPA1B,16,5,5,3.101260644,2.291387666
HSPA9,11,5,5,7.482218073,3.007169462
CAP1,11,5,5,1.34470601,0.926303205
LMNA,6,5,5,2.631915438,1.32357914
ITGB2,8,4,5,9.499359011,4.938189569
NPM1,7,4,5,10.45044822,3.259078352
CCT5,6,4,5,7.115664796,2.992931121
HNRNPK,7,4,4,5.243338419,2.805679271
HSPD1,6,4,4,12.46109625,2.861064281
HNRNPA2B1,6,4,3,3.883587513,2.093514949
PRKCSH,5,4,3,9.430835369,3.53118107
NCL,5,4,3,2.756084124,1.552333166
H2BC21,6,4,2,2.52661614,1.802628806
GPX1,4,4,2,8.622054857,6.381264347
PDIA3,8,3,5,5.527304497,2.861287603
RALY,6,3,5,5.93577524,2.767339993
ANXA4,6,3,5,5.933715018,4.25570448
HSP90B1,7,3,4,3.846553304,2.039623566
HNRNPDL,6,3,4,9.18979324,4.08588074
PKM,6,3,4,7.551762219,3.800924073
HSP90AA1,5,3,4,6.416049968,2.692945927
RPLP1,5,3,4,3.053747573,1.944998956
ZYX,5,3,4,3.001849728,1.916112554
ANXA6,5,3,3,8.403022139,3.6195321
LGALS1,5,3,3,0.812198571,0.698052171
HSPA2,4,3,3,12.18359518,6.013754332
HMGB1,4,3,3,8.850881308,3.663291591
GPI,4,3,3,8.378230896,3.116408672
APEX1,4,3,3,6.770225133,3.111818329
HNRNPA3,4,3,3,3.979338252,2.195555041
CLTC,3,3,3,2.827304321,1.706611162
ACAA2,3,3,3,1.113164096,0.89654906
ATXN2L,4,3,2,6.187797511,3.587647755
MYL6,4,3,2,2.062590304,1.536343435
HNRNPA0,4,3,2,0.692447607,0.654115453
PRDX5,3,3,2,9.292892915,4.202270901
MCM3AP,3,3,2,5.760862162,3.53973408
STAT1,3,3,2,3.777049938,1.672388765
CFL1,3,3,2,2.9557603,1.572628872
TPI1,3,3,2,2.418538988,1.283692215
LDHA,3,3,1,10.64200385,7.243394477
PPP1R14B,3,3,1,4.322269516,3.763896377
PPIA,3,3,1,2.427998682,1.284029281
ANP32A,3,3,1,2.391364571,2.101708572
IQGAP1,6,2,5,3.030653861,2.213500853
HNRNPH1,7,2,4,6.239378997,3.126477459
CTSD,5,2,4,7.920496717,2.948909468
HSPA5,5,2,4,2.471137302,1.540339131
XIRP1,5,2,4,1.457779127,1.016491489
INPP5D,4,2,4,5.376881801,3.324527884
CTSL,4,2,4,2.696695121,2.204279559
VDAC1,4,2,4,2.276160372,1.943393356
MTDH,10,2,3,7.452694107,3.821095446
ALDOA,5,2,3,7.352257815,2.531954734
GLO1,5,2,3,6.310304428,2.399290816
HNRNPU,5,2,3,3.118825103,2.308862409
SYNCRIP,5,2,3,2.20259162,1.706186563
TLN1,5,2,3,1.339924204,0.807617774
RPL31,4,2,3,10.981036,3.760409195
PNN,4,2,3,9.186583791,7.259938076
RPS6,4,2,3,6.534731702,3.558399957
ACTBL2,4,2,3,5.863151747,3.173458141
HMGA1,4,2,3,4.216655878,2.4237535
P4HB,4,2,3,2.284196044,1.620177345
HNRNPA1,3,2,3,8.479184389,3.837787947
PLIN3,3,2,3,7.78030309,5.511437203
NUP98,3,2,3,5.244811415,2.799902192
CCL5,3,2,3,2.622247587,1.983238101
IL1B,3,2,3,1.611526829,1.291177135
PCM1,3,2,3,1.273813371,1.000280451
NIBAN2,3,2,3,1.147047146,0.836626095
PSMC3,3,2,3,1.057141911,0.84756986
