"PTM.ModificationTitle","N_sites","N_proteins","Mean_abs_corr","Frac_robust_sites","Direction_consistency","Composite_score"
"Trimethyl (K)",5123,534,1.59547401414635,0.0234237751317587,0.136443490142495,0.00509916946137304
"Hex (K)",2424,309,1.79574284007861,0.0173267326732673,0.14026402640264,0.00436422487111874
"Crotonyl",3489,433,1.57182570491338,0.0252221266838636,0.100028661507595,0.00396561498479311
"Phospho (STY)",3686,473,1.40205760090551,0.0339120998372219,0.0808464460119371,0.00384398311642814
"GlyGly (K)",3350,402,1.79790513501065,0.0197014925373134,0.0919402985074627,0.00325665543189988
"HexNAc (ST)",3158,377,1.42375629026228,0.0205826472450918,0.107663077897403,0.00315503134422187
"Myristoyl",3052,383,1.55193513432694,0.0199868938401048,0.100262123197903,0.00310996691009684
"Acetyl (K)",2591,340,1.56143559458151,0.0208413739868777,0.0930142802006947,0.00302691378893328
"Sulfo (STY)",8204,826,1.13615768646397,0.0249878108239883,0.0892247684056558,0.00253309950288224
"Nitrosyl",5610,700,0.996533612937003,0.0304812834224599,0.0759358288770054,0.0023065981478201
"Oxidation (W)",2759,341,0.484672000349021,0.0170351576658209,0.0300833635375136,0.000248382206306203
