"Genes","PTM.ModificationTitle","N_sites","N_comparisons"
"CASP1","Nitrosyl",1,6
"GSDMD","Nitrosyl",2,6
"GSDMD","Oxidation (W)",1,6
"HSP90AA1","GlyGly (K)",5,6
"HSP90AA1","Nitrosyl",4,6
"HSP90AA1","Sulfo (STY)",4,6
"HSP90AA1","Hex (K)",3,6
"HSP90AA1","Trimethyl (K)",2,6
"HSP90AA1","Acetyl (K)",1,6
"HSP90AA1","HexNAc (ST)",1,4
"HSP90AA1","Oxidation (W)",1,6
"HSP90AA1","Phospho (STY)",1,6
"HSP90AB1","Nitrosyl",4,6
"HSP90AB1","Crotonyl",3,6
"HSP90AB1","Acetyl (K)",2,6
"HSP90AB1","GlyGly (K)",2,6
"HSP90AB1","HexNAc (ST)",2,3
"HSP90AB1","Oxidation (W)",2,6
"HSP90AB1","Sulfo (STY)",2,4
"HSP90AB1","Trimethyl (K)",2,6
"HSP90AB1","Hex (K)",1,6
"HSP90AB1","Myristoyl",1,6
"HSP90AB1","Phospho (STY)",1,6
"HSPA8","Hex (K)",7,6
"HSPA8","Sulfo (STY)",6,6
"HSPA8","Acetyl (K)",4,6
"HSPA8","HexNAc (ST)",4,6
"HSPA8","Phospho (STY)",4,6
"HSPA8","Crotonyl",3,6
"HSPA8","Myristoyl",3,6
"HSPA8","Trimethyl (K)",3,6
"HSPA8","GlyGly (K)",2,6
"HSPA8","Nitrosyl",1,6
"HSPA8","Oxidation (W)",1,6
"IL1B","Sulfo (STY)",6,6
"IL1B","Trimethyl (K)",2,6
"IL1B","Acetyl (K)",1,6
"IL1B","GlyGly (K)",1,6
"IL1B","Hex (K)",1,6
"IL1B","Myristoyl",1,6
"IL1B","Nitrosyl",1,6
"IL1B","Phospho (STY)",1,6
"PPP2CA","Trimethyl (K)",1,6
"PYCARD","Phospho (STY)",1,6
"PYCARD","Sulfo (STY)",1,6
"PYCARD","Trimethyl (K)",1,6
