Comparison (group1/group2),Group,ProteinGroups,PTM.ModificationTitle,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Condition (Numerator),Condition (Denominator),protein_log2fc,corrected_log2fc,site_class
P3C4+Nigericin / Unstim,P07900_C597_M2_24,P07900,Nitrosyl,-7.397170502547798,7.397170502547798,1.2949835016641348e-7,0.02807688262851388,5,P07900,HSP90AA1,Heat shock protein HSP 90-alpha,HS90A_HUMAN,61,16756.60865529612,168.5660865529612,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.98112053457363535,-6.416049967974162,Robust
P3C4+Nigericin / P3C4,Q01518_R29_M1_13,Q01518,Dimethyl (KR),-5.352132955848474,5.352132955848474,3.400197266071292e-7,0.02992683759879673,6,Q01518,CAP1,Adenylyl cyclase-associated protein 1,CAP1_HUMAN,89,3984.628473982147,40.84628473982147,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.0820625741617809,-4.270070381686693,Robust
P3C4+Nigericin / P3C4,Q92835_T1012_M1_31,Q92835,Sulfo (STY),-3.310149380517145,3.310149380517145,7.958427871573784e-6,0.15686254266456695,6,Q92835,INPP5D,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",SHIP1_HUMAN,74,891.8688553981673,9.918688553981672,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.9327549916388588,-2.3773943888782862,Robust
P3C4+Nigericin / P3C4,Q8WUM4_K707_M1_32,Q8WUM4,Trimethyl (K),3.5806417038405387,3.5806417038405387,1.1417626335350717e-5,0.17682042948363927,6,Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein,PDC6I_HUMAN,69,-91.641671354054,0.08358328645945991,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.3582222175990874,3.938863921439626,Robust
P3C4+Nigericin / P3C4,Q04760_Y170_M1_31,Q04760,Sulfo (STY),-1.9704391063856184,1.9704391063856184,2.180613320318704e-5,0.21726137850529384,6,Q04760,GLO1,Lactoylglutathione lyase,LGUL_HUMAN,31,291.88737782487783,3.9188737782487784,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.3496556174076495,-0.6207834889779689,Robust
LPS+Nigericin / LPS,P14625_K708_M2_17,P14625,GlyGly (K),-3.5566773777039473,3.5566773777039473,2.540145093902729e-5,0.21739564402472408,5,P14625,HSP90B1,Endoplasmin,ENPL_HUMAN,108,1076.7022275364384,11.767022275364384,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,0.289875926424968,-3.8465533041289155,Robust
P3C4+Nigericin / Unstim,P21796_T204_M1_31,P21796,Sulfo (STY),-1.867279463284761,1.867279463284761,6.217896865160157e-5,0.24928936601154952,6,P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,VDAC1_HUMAN,42,264.8439329852541,3.648439329852541,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.1786702793113119,-1.688609183973449,Robust
P3C4+Nigericin / P3C4,P30085_K43_M1_22,P30085,Methyl (KR),-5.594009173399277,5.594009173399277,3.010185891806e-4,0.30182747366022994,5,P30085,CMPK1,UMP-CMP kinase,KCY_HUMAN,27,4730.193812032034,48.30193812032034,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.315566149265391,-4.278443024133886,Robust
P3C4+Nigericin / P3C4,Q16611_R11_M1_13,Q16611,Dimethyl (KR),-1.5085974659331345,1.5085974659331345,2.305988448858e-4,0.30182747366022994,6,Q16611,BAK1,Bcl-2 homologous antagonist/killer,BAK_HUMAN,6,184.53329201343064,2.8453329201343065,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.27421175042035545,-1.234385715512779,Robust
LPS / Unstim,Q53GL0_K337_M1_32,Q53GL0,Trimethyl (K),4.9187047312424,4.9187047312424,2.2198442473995e-4,0.30182747366022994,6,Q53GL0,PLEKHO1,Pleckstrin homology domain-containing family O member 1,PKHO1_HUMAN,24,-96.69385165604947,0.03306148343950507,Unstim,LPS,NA,NA,NA,LPS,Unstim,-0.47584386189624234,5.3945485931386425,Robust
